# arch	model	K	arm	fingerprint	cycle_seconds	variant_slug	note
# grid A: arch x model, at env.sh's K and the reference arm
eyeriss_like	resnet18	45	recon4	16b068314cb4	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wdw6-weights_spad__wrelax__ert-recon4-weights_spad-read	
eyeriss_like	resnet18	51	reference	5887b898ec0d	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax	
eyeriss_like	resnet18	51	recon1	fa618efad1e0	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax__arm-recon1	
eyeriss_like	resnet18	51	recon2	fa618efad1e0	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax__arm-recon2	
eyeriss_like	resnet18	51	recon3	59d684ec06fa	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax__ert-recon3-weights_spad-write	
eyeriss_like	resnet18	51	recon4	7cd1154077c3	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wdw6-weights_spad__wrelax__ert-recon4-weights_spad-read	
eyeriss_like	resnet18	57	reference	5887b898ec0d	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax	
eyeriss_like	resnet18	57	recon1	99384d63d68a	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax__arm-recon1	
eyeriss_like	resnet18	57	recon2	99384d63d68a	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax__arm-recon2	
eyeriss_like	resnet18	57	recon3	5d3f7ecf89a0	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax__ert-recon3-weights_spad-write	
eyeriss_like	resnet18	57	recon4	3b8424955edc	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wdw7-weights_spad__wrelax__ert-recon4-weights_spad-read	
eyeriss_like_wglb	resnet18	30	reference	d1444604cd01	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__mcons__wrelax	
eyeriss_like_wglb	resnet18	30	recon1	e06a3e70d969	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__mcons__wrelax__arm-recon1	
eyeriss_like_wglb	resnet18	30	recon2	e216ebfb9583	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wdw4-filter_glb__mcons__wrelax__ert-recon2-filter_glb-read	
